Conference_ID,Conference_Type,Conference_Title,Conference_Country,Conference_City,Year,Conference_Theme,Person,Organization,Organization_Country,Organization_Region
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,Francisco S. Tatad,Member of Parliament - Philippines,Philippines,Asia/Pacific
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,Akira Morita,Toyo University,Japan,Asia/Pacific
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,Michaela Freiova,Civic Institute of the Czech Republic,Czech Republic,Post-Soviet
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,Ivana Janu ,Constitutional Court of Czech Republic,Czech Republic,Post-Soviet
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,Marijo Zivkovic,Family Center of Croatia,Croatia,Post-Soviet
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,,Family Revival Movement,Czech Republic,Post-Soviet
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,Arcadi Nebolsine,International Society for the Saving of Russian Monuments and Landscapes,Russia,Post-Soviet
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,,Moscow Lomonosov State University,Russia,Post-Soviet
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,,Orthodox Brotherhood of Scientists and Specialists,Russia,Post-Soviet
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,,Alianza Latinoamericana para la Familia,Venezuela,Latin America/Caribbean
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,,World Association for Family and Education,Mexico,Latin America/Caribbean
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,Christine de Marcellus de Vollmer,World Organization for the Family,Venezuela,Latin America/Caribbean
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,,Association for the Promotion of Psychological Knowledge of Human Nature,Switzerland,The West
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,BA Santamaria,Australian Familiy Association,Australia,The West
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,,Chesterton Institute,Canada,The West
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,Thomas Fleming,Chronicles: A Magazine of American Culture,United States,The West
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,Alan Tapper,Curtin University,Australia,The West
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,Babette Francis,"Endeavour Forum, Inc.",Australia,The West
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,,Family Research Council,United States,The West
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,Michael Farris,Home School Legal Defense Association,United States,The West
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,Allan C. Carlson,"Howard Center for Family, Religion, and Society",United States,The West
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,John A. Howard,"Howard Center for Family, Religion, and Society",United States,The West
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,David A. Hartman,Institute for Budget and Tax Limitations,United States,The West
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,Kevin Andrews,Member of Parliament - Australia,Australia,The West
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,Wade Horne,National Fatherhood Initiative,United States,The West
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,Marie-Françoise Antoinette Jeanne Madeleine of Bourbon-Parma,Princess of House of Bourbon-Parma,France,The West
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,William Mattox,USA Today,United States,The West
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,Johanna von Westphalen,Yes to Life Foundation,Germany,The West
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,Elizabeth Holmes,,,
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,Majid Katme,,,
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,Myriam Puig,,,
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,Pavel Rican,,,
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,Sharon Hayes,,,
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,Thomas Molnar,,,
C1,Congress,WCF Congress I,Czech Republic,Prague,1997,,William Kauffman,,,
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Theresa Okafor,Foundation for African Cultural Heritage - FACH,Nigeria,Africa
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Ligaya Acosta,Human Life International - Asia,Philippines,Asia/Pacific
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Veranika Siardziuk,Center of Support and Motherhood MATULIA,Belarus,Post-Soviet
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Lech Kowalewski,Friends of Human Life Foundation,Poland,Post-Soviet
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Levan Vasadze,Georgian Demographic Society,Georgia,Post-Soviet
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Levan Vasadze,Georgian Demographic Society,Georgia,Post-Soviet
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Levan Vasadze,Georgian Demographic Society,Georgia,Post-Soviet
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Ewa Kowalewska,Human Life International - Europe,Poland,Post-Soviet
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Sandor Szabo,Hungarian Ambassador to Georgia,Hungary,Post-Soviet
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Antoni Szymański,Member of Parliament - Poland,Poland,Post-Soviet
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Igor Dodon,Party of Socialists of the Republic of Moldova,Moldova,Post-Soviet
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Igor Beloborodov,Russian Institute for Strategic Studies,Russia,Post-Soviet
